HR;Hm;km;maxHR;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;bike;type;date;endtime;starttime;rider_weight;rider_height;ride_type;duration
;566,6;36,14793;;528,6;53,8776;289,6;48,77856824;48,70887422;9,572090087;9,469560469;19,63155608;Rose PRO;Rennrad;03.01.20;16:15:33;14:17:03;76;183;Pendeln;01:58:30
;707,6;22,78517;;484,4;55,9296;313;48,75552194;48,71633437;9,519578638;9,506491804;25,75018;Rose PRO;Rennrad;06.10.18;14:00:01;12:50:55;73;183;Training;01:09:06
;191,6;35,77877;;323,2;39,5352;237,6;48,79818524;48,70367032;9,517305717;9,170930609;21,01617161;Stevens Elite;Trecking;27.08.19;19:52:13;18:10:02;73;183;Pendeln;01:42:11
;234;35,25931;;347,6;39,132;246,8;48,79822346;48,70365221;9,517285936;9,170499528;22,13894476;Stevens Elite;Trecking;04.04.18;19:27:20;17:51:38;74;183;Pendeln;01:35:42
;447,8;22,03374;;465;57,6756;281,8;48,76649964;48,71701187;9,519576458;9,490543222;26,44992323;Rose PRO;Rennrad;20.09.17;16:47:32;15:51:00;73;183;Training;00:56:32
;158,6;34,94818;;312;40,8132;218,2;48,79830871;48,70365892;9,517276548;9,170876797;21,84257558;Stevens Elite;Trecking;04.10.18;09:25:18;07:49:33;73;183;Pendeln;01:35:45
121,5350554;1885,6;34,18781;180;2677,8;48,7404;874,2;46,62205417;46,52866024;10,6920183;10,45330144;12,14640718;CUBE AIM RACE;MTB;19.07.16;13:04:19;09:56:21;73;183;Training;03:07:58
;134,8;4,9589;;283,4;30,9024;210;48,7172702;48,71312225;9,517255425;9,49041741;13,87198442;CUBE AIM RACE;MTB;22.04.20;19:03:16;18:27:16;74;183;Training;00:36:00
;419,2;27,98019;;514,8;55,8936;302,4;48,77309896;48,71701154;9,561129827;9,490725026;27,52272611;Rose PRO;Rennrad;19.05.19;11:44:08;10:36:08;74;183;Training;01:08:00
;1872;135,21946;;707;54,3168;259,4;48,8235519;48,68472369;9,990724912;9,490651516;28,05946159;Rose PRO;Rennrad;29.04.18;13:00:50;07:00:33;73;183;Training;06:00:17
134,9061743;1418,2;91,54984;163;789,8;57,7764;314;48,71721623;48,52843096;9,659815673;9,448956409;25,98141029;Rose PRO;Rennrad;02.06.19;14:43:47;10:37:53;73;183;Training;04:05:54
